date,price
1998-01-10,11.52083333
1998-01-17,14.375
1998-01-24,13.725
1998-01-31,13.83333333
1998-02-07,15.80555556
1998-02-14,16.375
1998-02-21,16.80357143
1998-02-28,16.83333333
1998-03-07,17.05
1998-03-14,16.4
1998-03-21,15.25
1998-03-28,13.25
1998-04-04,12.97916667
1998-04-11,13.375
1998-04-18,13.48611111
1998-04-25,14.98611111
1998-05-02,15.4375
1998-05-09,12.234375
1998-05-16,10.234375
1998-05-23,10.15972222
1998-05-30,9.53125
1998-06-06,9.75
1998-06-13,8.024038462
1998-06-20,7.365384615
1998-06-27,9.116666667
1998-07-04,9.75
1998-07-11,9.159722222
1998-07-18,9.223214286
1998-07-25,8.553571429
1998-08-01,7.614130435
1998-08-08,7.976190476
1998-08-15,8.796875
1998-08-22,8.517857143
1998-08-29,7.802083333
1998-09-05,8.83125
1998-09-12,9.833333333
1998-09-19,11.046875
1998-09-26,13.234375
1998-10-03,13.425
1998-10-10,14.74
1998-10-17,15.89142857
1998-10-24,15.29625
1998-10-31,17.38375
1998-11-07,15.42125
1998-11-14,13.980625
1998-11-21,12.8225
1998-11-28,12.88916667
1998-12-05,11.47916667
1998-12-12,11.27857143
1998-12-19,9.7675
1998-12-26,7.97
1999-01-02,8.841666667
1999-01-09,9.133333333
1999-01-16,12.734
1999-01-23,17.60833333
1999-01-30,15.49666667
1999-02-06,16.244
1999-02-13,11.8575
1999-02-20,11.67916667
1999-02-27,13.48785714
1999-03-06,14.83
1999-03-13,14.84583333
1999-03-20,14.1125
1999-03-27,13.36
1999-04-03,12.82785714
1999-04-10,11.93071429
1999-04-17,11.0525
1999-04-24,10.62625
1999-05-01,11.0525
1999-05-08,10.99375
1999-05-15,11.6596875
1999-05-22,11.248125
1999-05-29,11.77071429
1999-06-05,11.035
1999-06-12,10.49888889
1999-06-19,9.912
1999-06-26,10.08875
1999-07-03,10.93055556
1999-07-10,10.15384615
1999-07-17,8.911538462
1999-07-24,8.2575
1999-07-31,6.666666667
1999-08-07,7.65
1999-08-14,8.185
1999-08-21,7.145833333
1999-08-28,7.8125
1999-09-04,8.486111111
1999-09-11,8.977272727
1999-09-18,9.402777778
1999-09-25,8.05
1999-10-02,9.8125
1999-10-09,11.85416667
1999-10-16,11.575
1999-10-23,10.85714286
1999-10-30,9.5
1999-11-06,10.25
1999-11-13,13.5
1999-11-20,16.35
1999-11-27,18.25
1999-12-04,16.625
1999-12-11,18.125
1999-12-18,17.7375
1999-12-25,17.7
2000-01-01,19.5
2000-01-08,21.41666667
2000-01-15,19
2000-01-22,20.83333333
2000-01-29,13.75
2000-02-05,13.25
2000-02-12,14.5
2000-02-19,16
2000-02-26,13
2000-03-04,12.83333333
2000-03-11,11.66666667
2000-03-18,11.75
2000-03-25,11.5
2000-04-01,10.33333333
2000-04-08,11.66666667
2000-04-15,12.675
2000-04-22,10.27083333
2000-04-29,8.052083333
2000-05-06,8.291666667
2000-05-13,9.0625
2000-05-20,9.267857143
2000-05-27,9.585227273
2000-06-03,9.453125
2000-06-10,9.888888889
2000-06-17,9.361111111
2000-06-24,8.696428571
2000-07-01,9.083333333
2000-07-08,9.15
2000-07-15,10.365625
2000-07-22,10.27272727
2000-07-29,11.135
2000-08-05,11.94318182
2000-08-12,10.75
2000-08-19,9.325
2000-08-26,8.675
2000-09-02,9.631818182
2000-09-09,10.19642857
2000-09-16,9.340909091
2000-09-23,8.839285714
2000-09-30,9.8125
2000-10-07,11.15865385
2000-10-14,13.20833333
2000-10-21,13.16875
2000-10-28,12
2000-11-04,10.175
2000-11-11,9.0375
2000-11-18,8.640625
2000-11-25,8.325
2000-12-02,8.984375
2000-12-09,11.55
2000-12-16,18.5
2000-12-23,19
2000-12-30,19.98
2001-01-06,18.84285714
2001-01-13,15.98571429
2001-01-20,13.19166667
2001-01-27,14.35
2001-02-03,18.625
2001-02-10,17.875
2001-02-17,15.08333333
2001-02-24,15.8125
2001-03-03,17.4375
2001-03-10,15.4375
2001-03-17,15.4375
2001-03-24,13.6875
2001-03-31,13.375
2001-04-07,12.02083333
2001-04-14,9.833333333
2001-04-21,9.035714286
2001-04-28,8.46875
2001-05-05,9.484375
2001-05-12,11.77083333
2001-05-19,15.3
2001-05-26,15.65625
2001-06-02,11.41666667
2001-06-09,10.6875
2001-06-16,8.95
2001-06-23,7.6
2001-06-30,9.625
2001-07-07,9.1875
2001-07-14,9.333333333
2001-07-21,7.854166667
2001-07-28,8.411458333
2001-08-04,8.591346154
2001-08-11,8.35625
2001-08-18,7.5625
2001-08-25,7.052083333
2001-09-01,8.053571429
2001-09-08,8.020833333
2001-09-15,8.25
2001-09-22,8.25
2001-09-29,7.5
2001-10-06,9.375
2001-10-13,9.916666667
2001-10-20,10
2001-10-27,9.741666667
2001-11-03,8.6875
2001-11-10,8.729166667
2001-11-17,10.27083333
2001-11-24,11.0375
2001-12-01,12.359375
2001-12-08,12.29166667
2001-12-15,13
2001-12-22,12
2001-12-29,11
2002-01-05,9.833333333
2002-01-12,9.958333333
2002-01-19,13.5
2002-01-26,17.21666667
2002-02-02,17.08
2002-02-09,17.83
2002-02-16,15.4375
2002-02-23,10.65625
2002-03-02,10.3375
2002-03-09,13.875
2002-03-16,16
2002-03-23,17
2002-03-30,12.65625
2002-04-06,9.275
2002-04-13,8.05
2002-04-20,11.125
2002-04-27,12
2002-05-04,11.3625
2002-05-11,10
2002-05-18,9.75
2002-05-25,8.992857143
2002-06-01,8.742857143
2002-06-08,9.118055556
2002-06-15,10.375
2002-06-22,10.11111111
2002-06-29,10.0625
2002-07-06,10.56944444
2002-07-13,13.25
2002-07-20,13.625
2002-07-27,12.125
2002-08-03,11.28571429
2002-08-10,9.421875
2002-08-17,7.708333333
2002-08-24,7.489583333
2002-08-31,8.9125
2002-09-07,9.053571429
2002-09-14,11.35
2002-09-21,11.6
2002-09-28,12.91666667
2002-10-05,12.10416667
2002-10-12,11.01785714
2002-10-19,10.109375
2002-10-26,11.23214286
2002-11-02,11.08928571
2002-11-09,10.54166667
2002-11-16,10.36111111
2002-11-23,9.958333333
2002-11-30,10.1
2002-12-07,9.208333333
2002-12-14,8.64
2002-12-21,8.665
2002-12-28,8.625
2003-01-04,8.2
2003-01-11,10.065
2003-01-18,14.75
2003-01-25,17.75
2003-02-01,19.16666667
2003-02-08,21.75
2003-02-15,17.15
2003-02-22,11.725
2003-03-01,10.1
2003-03-08,10.42916667
2003-03-15,12.765
2003-03-22,11.225
2003-03-29,11
2003-04-05,10.99431818
2003-04-12,10.790625
2003-04-19,9.7975
2003-04-26,9.054545455
2003-05-03,8.570833333
2003-05-10,9.005208333
2003-05-17,9.2875
2003-05-24,10.17115385
2003-05-31,9.767045455
2003-06-07,10.0375
2003-06-14,10.33928571
2003-06-21,9.421875
2003-06-28,8.427083333
2003-07-05,8.488392857
2003-07-12,8.540909091
2003-07-19,10.22083333
2003-07-26,12.00357143
2003-08-02,10.54583333
2003-08-09,9.0625
2003-08-16,8.151041667
2003-08-23,7.710227273
2003-08-30,7.50625
2003-09-06,7.5875
2003-09-13,7.958333333
2003-09-20,8.583333333
2003-09-27,8.986111111
2003-10-04,9.499038462
2003-10-11,9.397727273
2003-10-18,10.02272727
2003-10-25,10.81666667
2003-11-01,11.35863636
2003-11-08,12.21272727
2003-11-15,12.7165
2003-11-22,13.536
2003-11-29,13.865
2003-12-06,12.89642857
2003-12-13,15.26944444
2003-12-20,14.9
2003-12-27,15.709375
2004-01-03,14.740625
2004-01-10,14.795
2004-01-17,14.39166667
2004-01-24,16.875
2004-01-31,17.075
2004-02-07,15.58125
2004-02-14,11.315
2004-02-21,12.26875
2004-02-28,13.1375
2004-03-06,13.85
2004-03-13,14.0015625
2004-03-20,13.74107143
2004-03-27,12.46875
2004-04-03,12.33214286
2004-04-10,12.94107143
2004-04-17,12.78125
2004-04-24,10.695
2004-05-01,9.869642857
2004-05-08,11.08571429
2004-05-15,10.9421875
2004-05-22,10.55
2004-05-29,10.14903846
2004-06-05,9.1796875
2004-06-12,8.125
2004-06-19,7.876666667
2004-06-26,8.380263158
2004-07-03,8.357386364
2004-07-10,8.163068182
2004-07-17,7.364673913
2004-07-24,6.808333333
2004-07-31,7.288461538
2004-08-07,9.067105263
2004-08-14,9.678846154
2004-08-21,11.89090909
2004-08-28,12.97352941
2004-09-04,12.28461538
2004-09-11,11.48653846
2004-09-18,9.804411765
2004-09-25,9.3671875
2004-10-02,9.259615385
2004-10-09,10.37
2004-10-16,16.45714286
2004-10-23,15.82916667
2004-10-30,15.7875
2004-11-06,14.6
2004-11-13,14.00714286
2004-11-20,13.16428571
2004-11-27,15.175
2004-12-04,14.53125
2004-12-11,12.57
2004-12-18,11.9375
2004-12-25,10.19444444
2005-01-01,8.767857143
2005-01-08,8.9
2005-01-15,10.86666667
2005-01-22,15.41666667
2005-01-29,16.475
2005-02-05,15.49285714
2005-02-12,15.02222222
2005-02-19,15.935
2005-02-26,17.38888889
2005-03-05,14.34375
2005-03-12,13.75416667
2005-03-19,16.71625
2005-03-26,18.6725
2005-04-02,15.465625
2005-04-09,11.48333333
2005-04-16,13.65357143
2005-04-23,17.5796875
2005-04-30,16.384375
2005-05-07,11.77142857
2005-05-14,10.48125
2005-05-21,10.16785714
2005-05-28,10.93125
2005-06-04,12.715625
2005-06-11,16.54711538
2005-06-18,15.71590909
2005-06-25,11.98125
2005-07-02,14.82777778
2005-07-09,14
2005-07-16,13.25
2005-07-23,10.39722222
2005-07-30,9.123684211
2005-08-06,7.892105263
2005-08-13,7.125
2005-08-20,7.192307692
2005-08-27,7.911538462
2005-09-03,11.40625
2005-09-10,14.77954545
2005-09-17,17.74038462
2005-09-24,14.57291667
2005-10-01,12.58035714
2005-10-08,12.653125
2005-10-15,12.7875
2005-10-22,12.6609375
2005-10-29,13.509375
2005-11-05,13.00138889
2005-11-12,14.9575
2005-11-19,19.3
2005-11-26,23.28125
2005-12-03,26.90357143
2005-12-10,28.2
2005-12-17,24.9875
2005-12-24,31.75
2005-12-31,28.75
2006-01-21,23.75
2006-01-28,19.64642857
2006-02-04,16.3
2006-02-11,14.95
2006-02-18,15.19166667
2006-02-25,19.35
2006-03-04,20.91666667
2006-03-11,21.20625
2006-03-18,18.9640625
2006-03-25,16.67638889
2006-04-01,17.6421875
2006-04-08,21.17916667
2006-04-15,21.575
2006-04-22,17.78055556
2006-04-29,12.359375
2006-05-06,10.99305556
2006-05-13,10.8375
2006-05-20,10.36
2006-05-27,11.72875
2006-06-03,13.53333333
2006-06-10,12.90972222
2006-06-17,13.83125
2006-06-24,13.71875
2006-07-01,14.10227273
2006-07-08,13.13020833
2006-07-15,11.70982143
2006-07-22,11.36979167
2006-07-29,11.40104167
2006-08-05,10.08214286
2006-08-12,9.252777778
2006-08-19,10.09583333
2006-08-26,10.94821429
2006-09-02,13.29807692
2006-09-09,12.99583333
2006-09-16,12.09659091
2006-09-23,11.71428571
2006-09-30,10.06730769
2006-10-07,10.35416667
2006-10-14,10.41416667
2006-10-21,11.77692308
2006-10-28,11.11111111
2006-11-04,11.9455
2006-11-11,11.37083333
2006-11-18,12.17916667
2006-11-25,12.12613636
2006-12-02,11.725
2006-12-09,10.97272727
2006-12-16,10.84375
2006-12-23,11.11944444
2006-12-30,11.975
2007-01-06,16.27625
2007-01-13,16.61944444
2007-01-20,17.415625
2007-01-27,16.52954545
2007-02-03,15.8875
2007-02-10,13.86125
2007-02-17,15.10833333
2007-02-24,17.0484375
2007-03-03,20.49285714
2007-03-10,17.0075
2007-03-17,15.29166667
2007-03-24,16.16522727
2007-03-31,18.009375
2007-04-07,21.00388889
2007-04-14,18.75535714
2007-04-21,15.875
2007-04-28,14.5195
2007-05-05,14.42958333
2007-05-12,16.51041667
2007-05-19,16.08068182
2007-05-26,15.54204545
2007-06-02,13.36538462
2007-06-09,13.49375
2007-06-16,12.91666667
2007-06-23,12.76388889
2007-06-30,11.26875
2007-07-07,10.48653846
2007-07-14,9.08125
2007-07-21,8.053571429
2007-07-28,9.867307692
2007-08-04,10.46590909
2007-08-11,9.955357143
2007-08-18,9.704545455
2007-08-25,9.633333333
2007-09-01,11.06484375
2007-09-08,13.44615385
2007-09-15,13.32307692
2007-09-22,12.97142857
2007-09-29,12.20833333
2007-10-06,10.06730769
2007-10-13,11.0140625
2007-10-20,11.1671875
2007-10-27,10.9375
2007-11-03,11
2007-11-10,11.6125
2007-11-17,14.225
2007-11-24,20.04166667
2007-12-01,20.625
2007-12-08,21.20833333
2007-12-15,22.16666667
2007-12-22,22
2007-12-29,20
2008-01-05,18
2008-01-12,17.25
2008-01-19,16.25
2008-01-26,18.5
2008-02-02,17.25
2008-02-09,15.9375
2008-02-16,13.9375
2008-02-23,12
2008-03-01,11.33333333
2008-03-08,11.58333333
2008-03-15,15.125
2008-03-22,22
2008-03-29,17
2008-04-05,13.16666667
2008-04-12,12.625
2008-04-19,12.66666667
2008-04-26,12.5
2008-05-03,12.625
2008-05-10,14.2
2008-05-17,14.05
2008-05-24,15.625
2008-05-31,14.5625
2008-06-07,13.125
2008-06-14,11.7
2008-06-21,11.45
2008-06-28,13.29166667
2008-07-05,12.8125
2008-07-12,13.14166667
2008-07-19,14.60416667
2008-07-26,18.40227273
2008-08-02,14.535
2008-08-09,13.96875
2008-08-16,12.02777778
2008-08-23,11.92857143
2008-08-30,12.84375
2008-09-06,12.95
2008-09-13,13
2008-09-20,13.08928571
2008-09-27,13.33928571
2008-10-04,13.375
2008-10-11,16.8925
2008-10-18,19.13125
2008-10-25,21.38214286
2008-11-01,19.16590909
2008-11-08,19.98125
2008-11-15,20.675
2008-11-22,21.27
2008-11-29,20.52954545
2008-12-06,17.609375
2008-12-13,17.859375
2008-12-20,16.8125
2008-12-27,15.4
2009-01-03,13.5
2009-01-10,14.75
2009-01-17,14.54464286
2009-01-24,15.25
2009-01-31,16.64583333
2009-02-07,17.953125
2009-02-14,19.83333333
2009-02-21,22.64583333
2009-02-28,25.65
2009-03-07,31
2009-03-14,30.8125
2009-03-21,29.875
2009-03-28,29.25
2009-04-04,31.25
2009-04-11,32.25
2009-04-18,27.52083333
2009-04-25,16.89285714
2009-05-02,14.625
2009-05-09,14.91071429
2009-05-16,14.375
2009-05-23,14.39285714
2009-05-30,14.53571429
2009-06-06,17.33928571
2009-06-13,18.30357143
2009-06-20,17.05357143
2009-06-27,13.546875
2009-07-04,14.0625
2009-07-11,16.55357143
2009-07-18,21.47916667
2009-07-25,19.52692308
